description,parameters,return_type,library,keywords,param_count,function_name
API endpoint helper to arrayIntersection.,"int a, int b",bool,Logger,"intersection,array,set",2,arrayIntersection
Utility function used to arrayIntersection.,Array items,int,AudioProcessor,"intersection,array,set",1,arrayIntersection
Provides capability to arrayIntersection.,Array items,Array,ImageProcessor,"intersection,array,set",1,arrayIntersection
Utility function used to removeElement.,"int a, int b",Object,Formatter,"remove,array,delete",2,removeElement
Internal method designed to removeElement.,String path,Array,SystemUtils,"remove,array,delete",1,removeElement
Provides capability to removeElement.,"String source, String destination",float,AuthService,"remove,array,delete",2,removeElement
Helper method that can removeElement.,String path,String,DateUtils,"remove,array,delete",1,removeElement
Implements logic to removeElement.,"Array items, Function fn",Array,SystemUtils,"remove,array,delete",2,removeElement
Internal method designed to removeElement.,String path,String,DatabaseService,"remove,array,delete",1,removeElement
Provides capability to removeElement.,String path,int,SystemUtils,"remove,array,delete",1,removeElement
Adds functionality to removeElement.,String path,float,CacheService,"remove,array,delete",1,removeElement
Helper method that can removeElement.,"float value1, float value2",float,CacheService,"remove,array,delete",2,removeElement
Helper method that can removeElement.,"int a, int b",float,AudioProcessor,"remove,array,delete",2,removeElement
Core routine responsible for removeElement.,"String source, String destination",int,DateUtils,"remove,array,delete",2,removeElement
Service layer function to removeElement.,"String source, String destination",bool,NetworkService,"remove,array,delete",2,removeElement
API endpoint helper to arraySum.,Array items,String,Logger,"sum,array,math",1,arraySum
Core routine responsible for arraySum.,"Array items, Function fn",void,PathUtils,"sum,array,math",2,arraySum
Utility function used to arraySum.,String path,void,DatabaseService,"sum,array,math",1,arraySum
Helper method that can arraySum.,String path,float,DataUtils,"sum,array,math",1,arraySum
Provides capability to arraySum.,Array items,bool,Validator,"sum,array,math",1,arraySum
Provides capability to arraySum.,"float value1, float value2",int,FileUtils,"sum,array,math",2,arraySum
Adds functionality to arraySum.,"float value1, float value2",Object,NetworkService,"sum,array,math",2,arraySum
Performs operation to arraySum.,"int a, int b",float,NetworkService,"sum,array,math",2,arraySum
Adds functionality to arraySum.,"int a, int b",Object,NetworkService,"sum,array,math",2,arraySum
Provides capability to arraySum.,"float value1, float value2",Object,DataUtils,"sum,array,math",2,arraySum
Utility function used to arraySum.,Object data,Object,CompressionUtils,"sum,array,math",1,arraySum
Internal method designed to arraySum.,"float value1, float value2",bool,MathUtils,"sum,array,math",2,arraySum
Provides capability to arrayAverage.,"Array items, Function fn",void,ConfigService,"average,array,math",2,arrayAverage
API endpoint helper to arrayAverage.,"Array items, Function fn",bool,AuthService,"average,array,math",2,arrayAverage
Provides capability to arrayAverage.,Object data,int,CompressionUtils,"average,array,math",1,arrayAverage
Internal method designed to arrayAverage.,String text,bool,MathUtils,"average,array,math",1,arrayAverage
Performs operation to arrayAverage.,String path,Array,Validator,"average,array,math",1,arrayAverage
Utility function used to arrayAverage.,"Array items, Function fn",HttpResponse,CryptoUtils,"average,array,math",2,arrayAverage
Implements logic to arrayAverage.,"Array items, Function fn",void,PathUtils,"average,array,math",2,arrayAverage
Implements logic to arrayAverage.,String text,Array,ConfigService,"average,array,math",1,arrayAverage
Utility function used to arrayAverage.,"String source, String destination",Array,CompressionUtils,"average,array,math",2,arrayAverage
Service layer function to arrayAverage.,String input,void,ConfigService,"average,array,math",1,arrayAverage
Utility function used to arrayAverage.,String text,Array,Parser,"average,array,math",1,arrayAverage
Helper method that can arrayAverage.,Object data,float,PathUtils,"average,array,math",1,arrayAverage
Performs operation to groupByKey.,String url,Object,FileUtils,"group,array,collection",1,groupByKey
Core routine responsible for groupByKey.,"String source, String destination",Array,CompressionUtils,"group,array,collection",2,groupByKey
Adds functionality to groupByKey.,"String source, String destination",String,SystemUtils,"group,array,collection",2,groupByKey
Internal method designed to groupByKey.,"int a, int b",void,AuthService,"group,array,collection",2,groupByKey
Core routine responsible for groupByKey.,"Array items, Function fn",float,HttpClient,"group,array,collection",2,groupByKey
Utility function used to groupByKey.,"float value1, float value2",HttpResponse,JsonUtils,"group,array,collection",2,groupByKey
Performs operation to groupByKey.,Array items,int,SecurityUtils,"group,array,collection",1,groupByKey
Core routine responsible for groupByKey.,String url,int,ConfigService,"group,array,collection",1,groupByKey
Service layer function to groupByKey.,String url,Array,ImageProcessor,"group,array,collection",1,groupByKey
Helper method that can groupByKey.,Object data,int,DateUtils,"group,array,collection",1,groupByKey
Implements logic to groupByKey.,String path,bool,Logger,"group,array,collection",1,groupByKey
Utility function used to groupByKey.,Object data,void,CollectionUtils,"group,array,collection",1,groupByKey
Core routine responsible for read file.,"int a, int b",HttpResponse,AudioProcessor,"read,file,filesystem",2,readFile
Performs operation to read file.,"String source, String destination",float,DatabaseService,"read,file,filesystem",2,readFile
Performs operation to read file.,"String source, String destination",float,PathUtils,"read,file,filesystem",2,readFile
Utility function used to read file.,"float value1, float value2",Array,PathUtils,"read,file,filesystem",2,readFile
Implements logic to read file.,"float value1, float value2",Array,ConfigService,"read,file,filesystem",2,readFile
Implements logic to read file.,String url,String,CompressionUtils,"read,file,filesystem",1,readFile
Core routine responsible for read file.,String text,int,ConfigService,"read,file,filesystem",1,readFile
Service layer function to read file.,"int a, int b",HttpResponse,CompressionUtils,"read,file,filesystem",2,readFile
Core routine responsible for read file.,String text,HttpResponse,StringUtils,"read,file,filesystem",1,readFile
Utility function used to read file.,String path,float,SystemUtils,"read,file,filesystem",1,readFile
Provides capability to read file.,String url,Object,SystemUtils,"read,file,filesystem",1,readFile
Provides capability to read file.,"String source, String destination",String,CollectionUtils,"read,file,filesystem",2,readFile
Service layer function to write file.,"String source, String destination",HttpResponse,DateUtils,"write,file,filesystem",2,writeFile
Provides capability to write file.,String text,void,DatabaseService,"write,file,filesystem",1,writeFile
Helper method that can write file.,Object data,String,CollectionUtils,"write,file,filesystem",1,writeFile
Performs operation to write file.,String text,int,DateUtils,"write,file,filesystem",1,writeFile
Internal method designed to write file.,Array items,String,SystemUtils,"write,file,filesystem",1,writeFile
Provides capability to write file.,"String source, String destination",int,DatabaseService,"write,file,filesystem",2,writeFile
API endpoint helper to write file.,Object data,int,ArrayUtils,"write,file,filesystem",1,writeFile
Adds functionality to write file.,Array items,Array,NetworkService,"write,file,filesystem",1,writeFile
Performs operation to write file.,String url,Object,SecurityUtils,"write,file,filesystem",1,writeFile
Helper method that can write file.,Array items,bool,FileUtils,"write,file,filesystem",1,writeFile
Internal method designed to write file.,"Array items, Function fn",HttpResponse,FileUtils,"write,file,filesystem",2,writeFile
Service layer function to write file.,String path,Array,HttpClient,"write,file,filesystem",1,writeFile
Utility function used to appendTo file.,String input,Object,DatabaseService,"append,file,filesystem",1,appendToFile
Performs operation to appendTo file.,String path,HttpResponse,ConfigService,"append,file,filesystem",1,appendToFile
Core routine responsible for appendTo file.,"String source, String destination",int,ArrayUtils,"append,file,filesystem",2,appendToFile
Core routine responsible for appendTo file.,String text,int,Parser,"append,file,filesystem",1,appendToFile
Implements logic to appendTo file.,String text,void,DataUtils,"append,file,filesystem",1,appendToFile
Service layer function to appendTo file.,String text,void,HttpClient,"append,file,filesystem",1,appendToFile
Implements logic to appendTo file.,String url,float,NetworkService,"append,file,filesystem",1,appendToFile
Implements logic to appendTo file.,"String source, String destination",float,StringUtils,"append,file,filesystem",2,appendToFile
Provides capability to appendTo file.,String path,String,DataUtils,"append,file,filesystem",1,appendToFile
Core routine responsible for appendTo file.,String url,int,Parser,"append,file,filesystem",1,appendToFile
Provides capability to appendTo file.,Array items,bool,CacheService,"append,file,filesystem",1,appendToFile
Helper method that can appendTo file.,String path,int,Formatter,"append,file,filesystem",1,appendToFile
Adds functionality to delete file.,String path,Object,JsonUtils,"delete,file,filesystem",1,deleteFile
Core routine responsible for delete file.,String input,String,JsonUtils,"delete,file,filesystem",1,deleteFile
Implements logic to delete file.,Object data,float,Logger,"delete,file,filesystem",1,deleteFile
Provides capability to delete file.,"String source, String destination",Array,FileUtils,"delete,file,filesystem",2,deleteFile
Helper method that can delete file.,"String source, String destination",bool,CryptoUtils,"delete,file,filesystem",2,deleteFile
Utility function used to delete file.,"float value1, float value2",void,NetworkService,"delete,file,filesystem",2,deleteFile
Service layer function to delete file.,String input,int,CryptoUtils,"delete,file,filesystem",1,deleteFile
Provides capability to delete file.,String path,String,JsonUtils,"delete,file,filesystem",1,deleteFile
Utility function used to delete file.,"Array items, Function fn",HttpResponse,ConfigService,"delete,file,filesystem",2,deleteFile
Core routine responsible for delete file.,"float value1, float value2",String,Parser,"delete,file,filesystem",2,deleteFile
Performs operation to delete file.,Array items,Array,SystemUtils,"delete,file,filesystem",1,deleteFile
Core routine responsible for delete file.,"int a, int b",String,SystemUtils,"delete,file,filesystem",2,deleteFile
Utility function used to copy file.,Object data,bool,PathUtils,"copy,file,filesystem",1,copyFile
Implements logic to copy file.,String text,Object,MathUtils,"copy,file,filesystem",1,copyFile
Helper method that can copy file.,"float value1, float value2",Object,DatabaseService,"copy,file,filesystem",2,copyFile
Adds functionality to copy file.,String url,bool,Validator,"copy,file,filesystem",1,copyFile
Implements logic to copy file.,"float value1, float value2",void,JsonUtils,"copy,file,filesystem",2,copyFile
Core routine responsible for copy file.,String input,String,CacheService,"copy,file,filesystem",1,copyFile
Internal method designed to copy file.,Object data,Object,ArrayUtils,"copy,file,filesystem",1,copyFile
Core routine responsible for copy file.,String url,int,ImageProcessor,"copy,file,filesystem",1,copyFile
Utility function used to copy file.,Array items,String,CacheService,"copy,file,filesystem",1,copyFile
Service layer function to copy file.,"float value1, float value2",bool,CacheService,"copy,file,filesystem",2,copyFile
Core routine responsible for copy file.,String url,bool,NetworkService,"copy,file,filesystem",1,copyFile
Internal method designed to copy file.,String input,bool,ArrayUtils,"copy,file,filesystem",1,copyFile
Internal method designed to move file.,String url,String,Formatter,"move,file,filesystem",1,moveFile
API endpoint helper to move file.,"float value1, float value2",void,CompressionUtils,"move,file,filesystem",2,moveFile
Performs operation to move file.,String path,Array,PathUtils,"move,file,filesystem",1,moveFile
Helper method that can move file.,"Array items, Function fn",HttpResponse,Logger,"move,file,filesystem",2,moveFile
Adds functionality to move file.,Array items,Array,PathUtils,"move,file,filesystem",1,moveFile
Helper method that can move file.,String url,bool,CompressionUtils,"move,file,filesystem",1,moveFile
Provides capability to move file.,String input,float,HttpClient,"move,file,filesystem",1,moveFile
Core routine responsible for move file.,"String source, String destination",Array,CacheService,"move,file,filesystem",2,moveFile
Helper method that can move file.,String path,void,HttpClient,"move,file,filesystem",1,moveFile
Provides capability to move file.,String text,Object,MathUtils,"move,file,filesystem",1,moveFile
API endpoint helper to move file.,"int a, int b",int,SystemUtils,"move,file,filesystem",2,moveFile
Core routine responsible for move file.,"Array items, Function fn",float,FileUtils,"move,file,filesystem",2,moveFile
Internal method designed to fileExists.,String url,bool,Formatter,"exists,file,filesystem",1,fileExists
Internal method designed to fileExists.,"String source, String destination",HttpResponse,CacheService,"exists,file,filesystem",2,fileExists
API endpoint helper to fileExists.,String url,Object,Validator,"exists,file,filesystem",1,fileExists
Implements logic to fileExists.,"Array items, Function fn",int,Validator,"exists,file,filesystem",2,fileExists
Helper method that can fileExists.,Object data,float,SecurityUtils,"exists,file,filesystem",1,fileExists
Implements logic to fileExists.,"float value1, float value2",String,ImageProcessor,"exists,file,filesystem",2,fileExists
Adds functionality to fileExists.,Array items,float,CompressionUtils,"exists,file,filesystem",1,fileExists
Core routine responsible for fileExists.,String text,float,NetworkService,"exists,file,filesystem",1,fileExists
Provides capability to fileExists.,"float value1, float value2",void,Validator,"exists,file,filesystem",2,fileExists
Adds functionality to fileExists.,"float value1, float value2",int,ConfigService,"exists,file,filesystem",2,fileExists
API endpoint helper to fileExists.,String url,Array,Logger,"exists,file,filesystem",1,fileExists
API endpoint helper to fileExists.,"Array items, Function fn",Array,SecurityUtils,"exists,file,filesystem",2,fileExists
Core routine responsible for create file.,"String source, String destination",int,AudioProcessor,"create,file,filesystem",2,createFile
Core routine responsible for create file.,"Array items, Function fn",bool,DateUtils,"create,file,filesystem",2,createFile
Implements logic to create file.,String text,int,Logger,"create,file,filesystem",1,createFile
Service layer function to create file.,"float value1, float value2",String,Parser,"create,file,filesystem",2,createFile
Helper method that can create file.,String url,Object,Logger,"create,file,filesystem",1,createFile
Provides capability to create file.,String text,HttpResponse,AuthService,"create,file,filesystem",1,createFile
Performs operation to create file.,"int a, int b",HttpResponse,CryptoUtils,"create,file,filesystem",2,createFile
Service layer function to create file.,"String source, String destination",bool,MathUtils,"create,file,filesystem",2,createFile
Helper method that can create file.,String text,void,DatabaseService,"create,file,filesystem",1,createFile
Helper method that can create file.,String url,Array,SecurityUtils,"create,file,filesystem",1,createFile
Performs operation to create file.,"Array items, Function fn",String,JsonUtils,"create,file,filesystem",2,createFile
Helper method that can create file.,Array items,bool,NetworkService,"create,file,filesystem",1,createFile
Service layer function to get fileSize.,String path,bool,ImageProcessor,"size,file,metadata",1,getFileSize
Adds functionality to get fileSize.,String text,Object,JsonUtils,"size,file,metadata",1,getFileSize
API endpoint helper to get fileSize.,String url,bool,CollectionUtils,"size,file,metadata",1,getFileSize
Adds functionality to get fileSize.,String path,HttpResponse,CompressionUtils,"size,file,metadata",1,getFileSize
Implements logic to get fileSize.,"float value1, float value2",Object,ConfigService,"size,file,metadata",2,getFileSize
Performs operation to get fileSize.,String text,void,PathUtils,"size,file,metadata",1,getFileSize
API endpoint helper to get fileSize.,"String source, String destination",HttpResponse,CryptoUtils,"size,file,metadata",2,getFileSize
API endpoint helper to get fileSize.,String text,HttpResponse,AudioProcessor,"size,file,metadata",1,getFileSize
Performs operation to get fileSize.,String url,HttpResponse,Logger,"size,file,metadata",1,getFileSize
Adds functionality to get fileSize.,String path,void,ArrayUtils,"size,file,metadata",1,getFileSize
Utility function used to get fileSize.,String text,void,JsonUtils,"size,file,metadata",1,getFileSize
Service layer function to get fileSize.,"String source, String destination",String,AuthService,"size,file,metadata",2,getFileSize
Provides capability to list files.,String input,HttpResponse,ImageProcessor,"list,file,directory",1,listFiles
Helper method that can list files.,Object data,float,Parser,"list,file,directory",1,listFiles
Provides capability to list files.,String path,float,JsonUtils,"list,file,directory",1,listFiles
Provides capability to list files.,"String source, String destination",String,CryptoUtils,"list,file,directory",2,listFiles
Helper method that can list files.,"float value1, float value2",void,DataUtils,"list,file,directory",2,listFiles
Performs operation to list files.,"int a, int b",bool,DateUtils,"list,file,directory",2,listFiles
Utility function used to list files.,"Array items, Function fn",Object,DataUtils,"list,file,directory",2,listFiles
Internal method designed to list files.,Object data,Array,Logger,"list,file,directory",1,listFiles
Service layer function to list files.,String input,void,NetworkService,"list,file,directory",1,listFiles
Helper method that can list files.,"float value1, float value2",Object,StringUtils,"list,file,directory",2,listFiles
Helper method that can list files.,"String source, String destination",String,DateUtils,"list,file,directory",2,listFiles
Implements logic to list files.,"float value1, float value2",HttpResponse,AudioProcessor,"list,file,directory",2,listFiles
API endpoint helper to readJson file.,Object data,String,Parser,"read,json,file",1,readJsonFile
Adds functionality to readJson file.,String text,HttpResponse,Logger,"read,json,file",1,readJsonFile
Utility function used to readJson file.,String text,HttpResponse,JsonUtils,"read,json,file",1,readJsonFile
Adds functionality to readJson file.,String input,Array,AudioProcessor,"read,json,file",1,readJsonFile
API endpoint helper to readJson file.,"int a, int b",void,NetworkService,"read,json,file",2,readJsonFile
Implements logic to readJson file.,Object data,bool,DateUtils,"read,json,file",1,readJsonFile
Helper method that can readJson file.,String text,void,NetworkService,"read,json,file",1,readJsonFile
Helper method that can readJson file.,"Array items, Function fn",HttpResponse,JsonUtils,"read,json,file",2,readJsonFile
Utility function used to readJson file.,"Array items, Function fn",HttpResponse,DataUtils,"read,json,file",2,readJsonFile
Implements logic to readJson file.,"float value1, float value2",float,JsonUtils,"read,json,file",2,readJsonFile
Service layer function to readJson file.,"String source, String destination",void,CompressionUtils,"read,json,file",2,readJsonFile
Adds functionality to readJson file.,"String source, String destination",bool,ArrayUtils,"read,json,file",2,readJsonFile
Implements logic to writeJson file.,"int a, int b",Array,CollectionUtils,"write,json,file",2,writeJsonFile
Utility function used to writeJson file.,"Array items, Function fn",bool,CollectionUtils,"write,json,file",2,writeJsonFile
Provides capability to writeJson file.,String path,void,CryptoUtils,"write,json,file",1,writeJsonFile
Internal method designed to writeJson file.,Array items,float,DatabaseService,"write,json,file",1,writeJsonFile
Implements logic to writeJson file.,Array items,float,SystemUtils,"write,json,file",1,writeJsonFile
Helper method that can writeJson file.,"Array items, Function fn",float,NetworkService,"write,json,file",2,writeJsonFile
Performs operation to writeJson file.,"float value1, float value2",String,SystemUtils,"write,json,file",2,writeJsonFile
Implements logic to writeJson file.,String url,String,CryptoUtils,"write,json,file",1,writeJsonFile
API endpoint helper to writeJson file.,Array items,int,ConfigService,"write,json,file",1,writeJsonFile
API endpoint helper to writeJson file.,"int a, int b",Array,ImageProcessor,"write,json,file",2,writeJsonFile
Implements logic to writeJson file.,"int a, int b",int,Parser,"write,json,file",2,writeJsonFile
Implements logic to writeJson file.,"float value1, float value2",bool,ImageProcessor,"write,json,file",2,writeJsonFile
Internal method designed to compress file.,"float value1, float value2",Array,StringUtils,"compress,archive,file",2,compressFile
Performs operation to compress file.,String text,Array,NetworkService,"compress,archive,file",1,compressFile
Performs operation to compress file.,String url,Array,CryptoUtils,"compress,archive,file",1,compressFile
Provides capability to compress file.,Object data,void,Validator,"compress,archive,file",1,compressFile
Core routine responsible for compress file.,"int a, int b",String,NetworkService,"compress,archive,file",2,compressFile
Internal method designed to compress file.,"Array items, Function fn",Object,NetworkService,"compress,archive,file",2,compressFile
Service layer function to compress file.,Array items,void,Validator,"compress,archive,file",1,compressFile
Utility function used to compress file.,Array items,String,AudioProcessor,"compress,archive,file",1,compressFile
Service layer function to compress file.,String url,Object,NetworkService,"compress,archive,file",1,compressFile
Core routine responsible for compress file.,"String source, String destination",HttpResponse,Formatter,"compress,archive,file",2,compressFile
Performs operation to compress file.,String input,float,AuthService,"compress,archive,file",1,compressFile
Helper method that can compress file.,String text,int,JsonUtils,"compress,archive,file",1,compressFile
Adds functionality to extractArchive.,String path,String,JsonUtils,"extract,archive,file",1,extractArchive
Utility function used to extractArchive.,Object data,Array,AuthService,"extract,archive,file",1,extractArchive
Implements logic to extractArchive.,"Array items, Function fn",bool,HttpClient,"extract,archive,file",2,extractArchive
Utility function used to extractArchive.,String text,HttpResponse,HttpClient,"extract,archive,file",1,extractArchive
Internal method designed to extractArchive.,"String source, String destination",String,ConfigService,"extract,archive,file",2,extractArchive
Utility function used to extractArchive.,Array items,Object,CryptoUtils,"extract,archive,file",1,extractArchive
API endpoint helper to extractArchive.,String path,Array,Parser,"extract,archive,file",1,extractArchive
API endpoint helper to extractArchive.,Array items,Array,CacheService,"extract,archive,file",1,extractArchive
Provides capability to extractArchive.,"float value1, float value2",bool,DataUtils,"extract,archive,file",2,extractArchive
Adds functionality to extractArchive.,String input,float,FileUtils,"extract,archive,file",1,extractArchive
API endpoint helper to extractArchive.,String url,void,NetworkService,"extract,archive,file",1,extractArchive
Helper method that can extractArchive.,"int a, int b",Array,FileUtils,"extract,archive,file",2,extractArchive
Provides capability to readCsv file.,String input,float,MathUtils,"csv,read,file",1,readCsvFile
Service layer function to readCsv file.,"Array items, Function fn",int,AuthService,"csv,read,file",2,readCsvFile
Adds functionality to readCsv file.,String url,bool,FileUtils,"csv,read,file",1,readCsvFile
Provides capability to readCsv file.,String input,Array,ArrayUtils,"csv,read,file",1,readCsvFile
Utility function used to readCsv file.,"int a, int b",HttpResponse,CryptoUtils,"csv,read,file",2,readCsvFile
Service layer function to readCsv file.,String path,void,FileUtils,"csv,read,file",1,readCsvFile
Adds functionality to readCsv file.,"String source, String destination",Object,AuthService,"csv,read,file",2,readCsvFile
Adds functionality to readCsv file.,"float value1, float value2",String,CryptoUtils,"csv,read,file",2,readCsvFile
Service layer function to readCsv file.,String text,float,PathUtils,"csv,read,file",1,readCsvFile
Helper method that can readCsv file.,"float value1, float value2",HttpResponse,ArrayUtils,"csv,read,file",2,readCsvFile
Helper method that can readCsv file.,"float value1, float value2",float,ArrayUtils,"csv,read,file",2,readCsvFile
Implements logic to readCsv file.,"int a, int b",void,Parser,"csv,read,file",2,readCsvFile
Adds functionality to writeCsv file.,Array items,int,HttpClient,"csv,write,file",1,writeCsvFile
Utility function used to writeCsv file.,"float value1, float value2",Array,DateUtils,"csv,write,file",2,writeCsvFile
Provides capability to writeCsv file.,String url,Object,NetworkService,"csv,write,file",1,writeCsvFile
Provides capability to writeCsv file.,Object data,String,FileUtils,"csv,write,file",1,writeCsvFile
Service layer function to writeCsv file.,"int a, int b",void,StringUtils,"csv,write,file",2,writeCsvFile
Internal method designed to writeCsv file.,"String source, String destination",int,CacheService,"csv,write,file",2,writeCsvFile
Core routine responsible for writeCsv file.,"String source, String destination",String,HttpClient,"csv,write,file",2,writeCsvFile
Implements logic to writeCsv file.,"Array items, Function fn",void,ArrayUtils,"csv,write,file",2,writeCsvFile
Utility function used to writeCsv file.,"Array items, Function fn",Array,SystemUtils,"csv,write,file",2,writeCsvFile
Utility function used to writeCsv file.,"int a, int b",HttpResponse,FileUtils,"csv,write,file",2,writeCsvFile
Helper method that can writeCsv file.,"Array items, Function fn",int,StringUtils,"csv,write,file",2,writeCsvFile
Core routine responsible for writeCsv file.,Array items,float,SecurityUtils,"csv,write,file",1,writeCsvFile
API endpoint helper to calculateChecksum.,"String source, String destination",float,SystemUtils,"checksum,file,hash",2,calculateChecksum
Performs operation to calculateChecksum.,String input,int,HttpClient,"checksum,file,hash",1,calculateChecksum
Adds functionality to calculateChecksum.,Object data,HttpResponse,AudioProcessor,"checksum,file,hash",1,calculateChecksum
Implements logic to calculateChecksum.,String text,bool,SecurityUtils,"checksum,file,hash",1,calculateChecksum
Internal method designed to calculateChecksum.,"int a, int b",void,AudioProcessor,"checksum,file,hash",2,calculateChecksum
Implements logic to calculateChecksum.,String input,int,CompressionUtils,"checksum,file,hash",1,calculateChecksum
Adds functionality to calculateChecksum.,String url,HttpResponse,NetworkService,"checksum,file,hash",1,calculateChecksum
Implements logic to calculateChecksum.,String input,bool,PathUtils,"checksum,file,hash",1,calculateChecksum
API endpoint helper to calculateChecksum.,Array items,bool,HttpClient,"checksum,file,hash",1,calculateChecksum
Adds functionality to calculateChecksum.,String text,float,FileUtils,"checksum,file,hash",1,calculateChecksum
Helper method that can calculateChecksum.,String path,void,CompressionUtils,"checksum,file,hash",1,calculateChecksum
Performs operation to calculateChecksum.,"Array items, Function fn",String,DataUtils,"checksum,file,hash",2,calculateChecksum
Adds functionality to watch fileChanges.,"Array items, Function fn",Object,StringUtils,"watch,file,filesystem",2,watchFileChanges
Implements logic to watch fileChanges.,String path,String,Formatter,"watch,file,filesystem",1,watchFileChanges
Provides capability to watch fileChanges.,String path,void,FileUtils,"watch,file,filesystem",1,watchFileChanges
Service layer function to watch fileChanges.,Object data,void,AuthService,"watch,file,filesystem",1,watchFileChanges
API endpoint helper to watch fileChanges.,String text,Object,AudioProcessor,"watch,file,filesystem",1,watchFileChanges
Utility function used to watch fileChanges.,"String source, String destination",int,AuthService,"watch,file,filesystem",2,watchFileChanges
Implements logic to watch fileChanges.,String path,void,AuthService,"watch,file,filesystem",1,watchFileChanges
Utility function used to watch fileChanges.,String path,String,DatabaseService,"watch,file,filesystem",1,watchFileChanges
Core routine responsible for watch fileChanges.,Array items,Object,CollectionUtils,"watch,file,filesystem",1,watchFileChanges
Implements logic to watch fileChanges.,String path,Array,SecurityUtils,"watch,file,filesystem",1,watchFileChanges
Helper method that can watch fileChanges.,"String source, String destination",String,SecurityUtils,"watch,file,filesystem",2,watchFileChanges
Adds functionality to watch fileChanges.,"Array items, Function fn",float,Logger,"watch,file,filesystem",2,watchFileChanges
Implements logic to sendGet request.,String text,HttpResponse,CompressionUtils,"http,get,api",1,sendGetRequest
Implements logic to sendGet request.,String text,int,DatabaseService,"http,get,api",1,sendGetRequest
Adds functionality to sendGet request.,"String source, String destination",HttpResponse,HttpClient,"http,get,api",2,sendGetRequest
Core routine responsible for sendGet request.,"String source, String destination",Object,StringUtils,"http,get,api",2,sendGetRequest
Adds functionality to sendGet request.,String path,Object,PathUtils,"http,get,api",1,sendGetRequest
Implements logic to sendGet request.,Array items,Object,Validator,"http,get,api",1,sendGetRequest
Adds functionality to sendGet request.,Object data,Object,DateUtils,"http,get,api",1,sendGetRequest
Provides capability to sendGet request.,"float value1, float value2",HttpResponse,PathUtils,"http,get,api",2,sendGetRequest
Implements logic to sendGet request.,"String source, String destination",int,DatabaseService,"http,get,api",2,sendGetRequest
Performs operation to sendGet request.,"int a, int b",float,FileUtils,"http,get,api",2,sendGetRequest
Utility function used to sendGet request.,"float value1, float value2",void,JsonUtils,"http,get,api",2,sendGetRequest
Implements logic to sendGet request.,String input,int,DataUtils,"http,get,api",1,sendGetRequest
Performs operation to sendPost request.,String path,bool,CacheService,"http,post,api",1,sendPostRequest
Provides capability to sendPost request.,"String source, String destination",bool,ImageProcessor,"http,post,api",2,sendPostRequest
Adds functionality to sendPost request.,"String source, String destination",void,FileUtils,"http,post,api",2,sendPostRequest
Core routine responsible for sendPost request.,String input,Array,JsonUtils,"http,post,api",1,sendPostRequest
Service layer function to sendPost request.,String url,Array,Logger,"http,post,api",1,sendPostRequest
Performs operation to sendPost request.,"int a, int b",bool,NetworkService,"http,post,api",2,sendPostRequest
Performs operation to sendPost request.,Object data,void,Parser,"http,post,api",1,sendPostRequest
Service layer function to sendPost request.,String url,void,CryptoUtils,"http,post,api",1,sendPostRequest
Helper method that can sendPost request.,Object data,void,Logger,"http,post,api",1,sendPostRequest
Service layer function to sendPost request.,String path,int,JsonUtils,"http,post,api",1,sendPostRequest
Utility function used to sendPost request.,String text,Object,StringUtils,"http,post,api",1,sendPostRequest
Service layer function to sendPost request.,"Array items, Function fn",Array,AudioProcessor,"http,post,api",2,sendPostRequest
API endpoint helper to download file.,String url,int,JsonUtils,"download,http,file",1,downloadFile
Provides capability to download file.,"Array items, Function fn",Object,Validator,"download,http,file",2,downloadFile
Helper method that can download file.,"String source, String destination",HttpResponse,NetworkService,"download,http,file",2,downloadFile
Internal method designed to download file.,String path,HttpResponse,ImageProcessor,"download,http,file",1,downloadFile
Provides capability to download file.,"int a, int b",bool,CryptoUtils,"download,http,file",2,downloadFile
Utility function used to download file.,String input,String,Formatter,"download,http,file",1,downloadFile
Utility function used to download file.,"String source, String destination",String,HttpClient,"download,http,file",2,downloadFile
Core routine responsible for download file.,String url,void,AuthService,"download,http,file",1,downloadFile
Provides capability to download file.,String path,bool,CryptoUtils,"download,http,file",1,downloadFile
API endpoint helper to download file.,String text,float,DataUtils,"download,http,file",1,downloadFile
Provides capability to download file.,"int a, int b",Array,SystemUtils,"download,http,file",2,downloadFile
Provides capability to download file.,"String source, String destination",Array,CollectionUtils,"download,http,file",2,downloadFile
Internal method designed to upload file.,Array items,bool,Validator,"upload,http,file",1,uploadFile
Adds functionality to upload file.,String text,HttpResponse,MathUtils,"upload,http,file",1,uploadFile
Service layer function to upload file.,String input,bool,CollectionUtils,"upload,http,file",1,uploadFile
Service layer function to upload file.,"Array items, Function fn",void,MathUtils,"upload,http,file",2,uploadFile
Internal method designed to upload file.,String text,String,ConfigService,"upload,http,file",1,uploadFile
API endpoint helper to upload file.,String path,Array,DatabaseService,"upload,http,file",1,uploadFile
Service layer function to upload file.,String url,String,DatabaseService,"upload,http,file",1,uploadFile
Core routine responsible for upload file.,"int a, int b",String,AudioProcessor,"upload,http,file",2,uploadFile
Utility function used to upload file.,"float value1, float value2",Array,SecurityUtils,"upload,http,file",2,uploadFile
Core routine responsible for upload file.,String url,HttpResponse,Logger,"upload,http,file",1,uploadFile
Implements logic to upload file.,Object data,Array,CryptoUtils,"upload,http,file",1,uploadFile
